año,comuna,división,descripción división,empresas
2021,Castilla,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",966
2021,Castilla,56,Actividades de servicios de comidas y bebidas,316
2021,Castilla,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",165
2021,Castilla,10,Elaboración de productos alimenticios,144
2021,Castilla,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",117
2021,Buenos Aires,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1069
2021,Buenos Aires,56,Actividades de servicios de comidas y bebidas,339
2021,Buenos Aires,68,Actividades inmobiliarias,148
2021,Buenos Aires,96,Otras actividades de servicios personales,141
2021,Buenos Aires,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",133
2021,Belen,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",2452
2021,Belen,56,Actividades de servicios de comidas y bebidas,729
2021,Belen,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",660
2021,Belen,68,Actividades inmobiliarias,649
2021,Belen,70,Actividades de administración empresarial; actividades de consultoría de gestión,421
2021,Aranjuez,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1300
2021,Aranjuez,56,Actividades de servicios de comidas y bebidas,487
2021,Aranjuez,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",189
2021,Aranjuez,96,Otras actividades de servicios personales,166
2021,Aranjuez,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",148
2021,Altavista,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",159
2021,Altavista,56,Actividades de servicios de comidas y bebidas,41
2021,Altavista,68,Actividades inmobiliarias,39
2021,Altavista,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,29
2021,Altavista,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",25
2020,Villa Hermosa,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",575
2020,Villa Hermosa,56,Actividades de servicios de comidas y bebidas,134
2020,Villa Hermosa,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,94
2020,Villa Hermosa,10,Elaboración de productos alimenticios,59
2020,Villa Hermosa,96,Otras actividades de servicios personales,59
