año,comuna,CIIU,sección,descripción sección,división,descripción división,grupo,descripción grupo,clase,descripción clase,empresas
2018,Altavista,2023,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,202,Fabricación de otros productos químicos,2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",0
2018,Altavista,2029,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,202,Fabricación de otros productos químicos,2029,Fabricación de otros productos químicos n.c.p.,0
2018,Altavista,2030,C,INDUSTRIAS MANUFACTURERAS,20,Fabricación de sustancias y productos químicos,203,Fabricación de fibras sintéticas y artificiales,2030,Fabricación de fibras sintéticas y artificiales,0
2018,Altavista,2100,C,INDUSTRIAS MANUFACTURERAS,21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",0
2018,Altavista,2211,C,INDUSTRIAS MANUFACTURERAS,22,Fabricación de productos de caucho y de plástico,221,Fabricación de productos de caucho,2211,Fabricación de llantas y neumáticos de caucho,0
2018,Altavista,2212,C,INDUSTRIAS MANUFACTURERAS,22,Fabricación de productos de caucho y de plástico,221,Fabricación de productos de caucho,2212,Reencauche de llantas usadas,0
2018,Altavista,2219,C,INDUSTRIAS MANUFACTURERAS,22,Fabricación de productos de caucho y de plástico,221,Fabricación de productos de caucho,2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,0
2018,Altavista,2221,C,INDUSTRIAS MANUFACTURERAS,22,Fabricación de productos de caucho y de plástico,222,Fabricación de productos de plástico,2221,Fabricación de formas básicas de plástico,0
2018,Altavista,2229,C,INDUSTRIAS MANUFACTURERAS,22,Fabricación de productos de caucho y de plástico,222,Fabricación de productos de plástico,2229,Fabricación de artículos de plástico n.c.p.,0
2018,Altavista,2310,C,INDUSTRIAS MANUFACTURERAS,23,Fabricación de otros productos minerales no metálicos,231,Fabricación de vidrio y productos de vidrio,2310,Fabricación de vidrio y productos de vidrio,0
2018,Altavista,2391,C,INDUSTRIAS MANUFACTURERAS,23,Fabricación de otros productos minerales no metálicos,239,Fabricación de productos minerales no metálicos n.c.p.,2391,Fabricación de productos refractarios,0
2018,Altavista,2392,C,INDUSTRIAS MANUFACTURERAS,23,Fabricación de otros productos minerales no metálicos,239,Fabricación de productos minerales no metálicos n.c.p.,2392,Fabricación de materiales de arcilla para la construcción,0
