"AÑO","CIIU","Descripción","ALTAVISTA","ARANJUEZ","BELEN","BUENOS AIRES","CASTILLA","DOCE DE OCTUBRE","EL POBLADO","GUAYABAL","LA AMERICA","LA CANDELARIA","LAURELES-ESTADIO","MANRIQUE","PALMITAS","POPULAR","ROBLEDO","SAN ANTONIO DE PRADO","SAN CRISTOBAL","SAN JAVIER","SANTA CRUZ","SANTA ELENA","VILLA HERMOSA","Sin georreferenciar"
"2019","5,612","Expendio por autoservicio de comidas preparadas","0","14","32","13","9","1","72","19","19","89","40","4","0","1","6","0","0","2","3","0","8","60"
"2019","5,613","Expendio de comidas preparadas en cafeterías","0","61","79","25","49","23","90","50","55","380","138","19","0","14","32","0","0","15","11","0","19","141"
"2019","5,619","Otros tipos de expendio de comidas preparadas n.c.p.","0","117","165","75","58","47","105","75","83","223","146","54","0","26","72","0","0","37","40","0","49","221"
"2019","5,621","Catering para eventos","0","13","24","14","11","8","39","14","17","28","38","5","0","1","13","0","0","4","2","0","4","53"
"2019","5,629","Actividades de otros servicios de comidas","0","3","10","2","2","1","14","3","4","10","10","1","0","1","3","0","0","2","0","0","0","25"
"2019","5,630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento","0","174","136","106","84","77","147","47","44","421","139","93","0","89","51","0","0","68","83","0","71","324"
"2019","5,811","Edición de libros","0","3","5","1","0","0","9","2","3","5","8","0","0","0","4","0","0","0","0","0","0","7"
"2019","5,812","Edición de directorios y listas de correo","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"2019","5,813","Edición de periódicos, revistas y otras publicaciones periódicas","0","0","5","0","0","0","18","0","1","6","7","0","0","0","0","0","0","0","0","0","0","5"
"2019","5,819","Otros trabajos de edición","0","0","0","0","0","1","2","2","1","15","0","0","0","0","1","0","0","1","0","0","0","2"
"2019","5,820","Edición de programas de informática (software)","0","1","8","2","0","1","26","3","1","5","16","1","0","0","0","0","0","0","0","0","1","11"
"2019","5,911","Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión","0","1","12","3","2","0","41","4","14","20","22","1","0","0","2","0","0","1","0","0","2","36"
"2019","5,912","Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión","0","1","2","0","1","0","6","0","0","1","2","0","0","0","0","0","0","0","0","0","0","2"
"2019","5,913","Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","5,914","Actividades de exhibición de películas cinematográficas y videos","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1"
