comuna,año,level_2,empresas
Belen,2022,6942,155
Belen,2022,6946,154
Belen,2022,6948,47
Belen,2022,6950,94
Belen,2022,6961,74
Belen,2022,6974,47
Belen,2022,6977,127
Belen,2022,7000,45
Belen,2022,7041,319
Belen,2022,7043,92
Buenos Aires,2018,7095,13
Buenos Aires,2018,7104,52
Buenos Aires,2018,7107,14
Buenos Aires,2018,7108,19
Buenos Aires,2018,7123,79
Buenos Aires,2018,7129,14
Buenos Aires,2018,7173,16
Buenos Aires,2018,7220,19
Buenos Aires,2018,7229,19
Buenos Aires,2018,7248,53
Buenos Aires,2018,7252,40
Buenos Aires,2018,7255,28
Buenos Aires,2018,7256,23
Buenos Aires,2018,7258,46
Buenos Aires,2018,7259,15
Buenos Aires,2018,7262,32
Buenos Aires,2018,7263,17
Buenos Aires,2018,7264,17
Buenos Aires,2018,7265,17
Buenos Aires,2018,7287,285
Buenos Aires,2018,7288,73
Buenos Aires,2018,7289,28
Buenos Aires,2018,7291,32
Buenos Aires,2018,7292,28
Buenos Aires,2018,7293,28
Buenos Aires,2018,7296,26
Buenos Aires,2018,7299,48
Buenos Aires,2018,7303,37
Buenos Aires,2018,7304,32
Buenos Aires,2018,7307,62
Buenos Aires,2018,7308,13
Buenos Aires,2018,7309,81
Buenos Aires,2018,7310,23
Buenos Aires,2018,7315,31
Buenos Aires,2018,7317,38
Buenos Aires,2018,7322,14
Buenos Aires,2018,7332,19
Buenos Aires,2018,7347,95
Buenos Aires,2018,7348,16
Buenos Aires,2018,7349,22
Buenos Aires,2018,7350,74
Buenos Aires,2018,7353,109
Buenos Aires,2018,7369,15
Buenos Aires,2018,7370,26
Buenos Aires,2018,7371,13
Buenos Aires,2018,7397,31
Buenos Aires,2018,7400,50
Buenos Aires,2018,7401,15
Buenos Aires,2018,7405,37
Buenos Aires,2018,7406,32
Buenos Aires,2018,7410,40
Buenos Aires,2018,7412,14
Buenos Aires,2018,7415,15
Buenos Aires,2018,7426,13
Buenos Aires,2018,7442,27
Buenos Aires,2018,7504,121
Buenos Aires,2018,7506,16
Buenos Aires,2019,7559,14
Buenos Aires,2019,7568,49
Buenos Aires,2019,7571,17
Buenos Aires,2019,7572,20
Buenos Aires,2019,7581,13
Buenos Aires,2019,7587,79
Buenos Aires,2019,7637,16
Buenos Aires,2019,7684,14
Buenos Aires,2019,7693,21
Buenos Aires,2019,7713,52
Buenos Aires,2019,7717,38
Buenos Aires,2019,7720,25
Buenos Aires,2019,7721,17
Buenos Aires,2019,7723,55
Buenos Aires,2019,7724,14
Buenos Aires,2019,7727,46
Buenos Aires,2019,7729,21
Buenos Aires,2019,7730,19
Buenos Aires,2019,7753,277
Buenos Aires,2019,7754,82
Buenos Aires,2019,7755,28
Buenos Aires,2019,7757,24
Buenos Aires,2019,7758,36
Buenos Aires,2019,7759,29
Buenos Aires,2019,7762,20
Buenos Aires,2019,7765,51
Buenos Aires,2019,7769,41
Buenos Aires,2019,7770,38
Buenos Aires,2019,7773,51
Buenos Aires,2019,7775,93
Buenos Aires,2019,7776,23
Buenos Aires,2019,7781,33
Buenos Aires,2019,7783,44
Buenos Aires,2019,7788,17
Buenos Aires,2019,7798,22
Buenos Aires,2019,7813,95
Buenos Aires,2019,7814,13
Buenos Aires,2019,7815,25
Buenos Aires,2019,7816,75
Buenos Aires,2019,7817,14
Buenos Aires,2019,7819,106
Buenos Aires,2019,7835,13
Buenos Aires,2019,7836,25
Buenos Aires,2019,7863,27
Buenos Aires,2019,7866,53
Buenos Aires,2019,7867,16
Buenos Aires,2019,7871,42
Buenos Aires,2019,7872,35
Buenos Aires,2019,7876,35
Buenos Aires,2019,7878,15
Buenos Aires,2019,7880,15
Buenos Aires,2019,7891,16
Buenos Aires,2019,7907,40
Buenos Aires,2019,7953,18
Buenos Aires,2019,7971,138
Buenos Aires,2019,7973,17
Buenos Aires,2020,8037,41
Buenos Aires,2020,8040,20
Buenos Aires,2020,8041,20
Buenos Aires,2020,8056,72
Buenos Aires,2020,8106,17
Buenos Aires,2020,8153,18
Buenos Aires,2020,8162,16
Buenos Aires,2020,8182,53
Buenos Aires,2020,8186,31
Buenos Aires,2020,8189,17
Buenos Aires,2020,8190,15
Buenos Aires,2020,8192,42
Buenos Aires,2020,8193,15
Buenos Aires,2020,8196,35
Buenos Aires,2020,8197,15
Buenos Aires,2020,8198,17
Buenos Aires,2020,8199,16
Buenos Aires,2020,8202,13
Buenos Aires,2020,8216,14
Buenos Aires,2020,8221,282
Buenos Aires,2020,8222,72
Buenos Aires,2020,8223,28
Buenos Aires,2020,8225,30
Buenos Aires,2020,8226,32
Buenos Aires,2020,8227,26
Buenos Aires,2020,8230,21
Buenos Aires,2020,8233,49
Buenos Aires,2020,8237,42
Buenos Aires,2020,8238,42
Buenos Aires,2020,8241,51
Buenos Aires,2020,8243,93
Buenos Aires,2020,8244,16
Buenos Aires,2020,8249,45
Buenos Aires,2020,8251,34
Buenos Aires,2020,8255,22
Buenos Aires,2020,8265,21
Buenos Aires,2020,8271,14
Buenos Aires,2020,8280,71
Buenos Aires,2020,8282,16
Buenos Aires,2020,8283,60
Buenos Aires,2020,8286,69
Buenos Aires,2020,8303,23
Buenos Aires,2020,8304,13
Buenos Aires,2020,8332,28
Buenos Aires,2020,8335,50
Buenos Aires,2020,8336,19
Buenos Aires,2020,8337,12
Buenos Aires,2020,8339,12
Buenos Aires,2020,8340,37
Buenos Aires,2020,8341,25
Buenos Aires,2020,8345,29
Buenos Aires,2020,8349,14
Buenos Aires,2020,8355,11
Buenos Aires,2020,8360,11
Buenos Aires,2020,8376,38
Buenos Aires,2020,8422,19
Buenos Aires,2020,8440,98
Buenos Aires,2020,8442,17
Buenos Aires,2021,8463,16
Buenos Aires,2021,8509,57
Buenos Aires,2021,8512,23
Buenos Aires,2021,8513,16
Buenos Aires,2021,8527,86
Buenos Aires,2021,8577,18
Buenos Aires,2021,8624,18
Buenos Aires,2021,8633,19
Buenos Aires,2021,8653,79
Buenos Aires,2021,8657,54
Buenos Aires,2021,8660,29
Buenos Aires,2021,8661,20
Buenos Aires,2021,8663,52
Buenos Aires,2021,8664,20
Buenos Aires,2021,8667,46
Buenos Aires,2021,8668,20
Buenos Aires,2021,8670,16
Buenos Aires,2021,8673,20
Buenos Aires,2021,8692,289
Buenos Aires,2021,8693,88
Buenos Aires,2021,8694,24
Buenos Aires,2021,8696,32
Buenos Aires,2021,8697,41
Buenos Aires,2021,8698,23
Buenos Aires,2021,8701,33
Buenos Aires,2021,8704,56
Buenos Aires,2021,8708,55
Buenos Aires,2021,8709,46
Buenos Aires,2021,8712,70
Buenos Aires,2021,8714,101
Buenos Aires,2021,8715,19
Buenos Aires,2021,8720,61
Buenos Aires,2021,8722,50
Buenos Aires,2021,8727,28
Buenos Aires,2021,8738,18
Buenos Aires,2021,8744,21
Buenos Aires,2021,8753,116
Buenos Aires,2021,8755,23
Buenos Aires,2021,8756,72
Buenos Aires,2021,8759,106
Buenos Aires,2021,8776,44
Buenos Aires,2021,8777,27
Buenos Aires,2021,8778,17
Buenos Aires,2021,8808,40
Buenos Aires,2021,8811,115
Buenos Aires,2021,8812,33
Buenos Aires,2021,8813,24
Buenos Aires,2021,8814,18
Buenos Aires,2021,8815,25
Buenos Aires,2021,8816,65
Buenos Aires,2021,8819,31
Buenos Aires,2021,8823,32
Buenos Aires,2021,8827,30
Buenos Aires,2021,8838,19
Buenos Aires,2021,8851,16
Buenos Aires,2021,8854,62
Buenos Aires,2021,8903,17
Buenos Aires,2021,8922,114
Buenos Aires,2021,8924,24
Buenos Aires,2022,8988,54
Buenos Aires,2022,8991,25
Buenos Aires,2022,9000,21
Buenos Aires,2022,9006,93
Buenos Aires,2022,9055,23
Buenos Aires,2022,9103,21
Buenos Aires,2022,9112,20
Buenos Aires,2022,9132,80
Buenos Aires,2022,9136,47
Buenos Aires,2022,9139,32
Buenos Aires,2022,9140,22
Buenos Aires,2022,9142,63
Buenos Aires,2022,9143,26
Buenos Aires,2022,9146,55
Buenos Aires,2022,9147,18
Buenos Aires,2022,9152,23
Buenos Aires,2022,9170,18
Buenos Aires,2022,9171,292
Buenos Aires,2022,9172,99
Buenos Aires,2022,9173,28
Buenos Aires,2022,9175,37
Buenos Aires,2022,9176,51
Buenos Aires,2022,9177,27
Buenos Aires,2022,9180,32
Buenos Aires,2022,9183,51
Buenos Aires,2022,9187,55
Buenos Aires,2022,9188,44
Buenos Aires,2022,9191,76
Buenos Aires,2022,9193,112
Buenos Aires,2022,9194,27
Buenos Aires,2022,9199,57
